txid	ODPE_1	RVG_11	RVG_4	Avg1DPE	Median1DPE
crovir-transcript-7699	0	0	0	0	0
crovir-transcript-7698	64.18559752327144	50.89628573366971	110.39085191862472	75.15757839185528	64.18559752327144
crovir-transcript-7700	0	0	0	0	0
crovir-transcript-7702	0	0	0	0	0
crovir-transcript-7701	0.9022192452234823	1.0149251967229937	1.4851599437780523	1.1341014619081762	0.9022192452234823
crovir-transcript-7703	43.40156168188424	76.04214255536698	62.9165839791098	60.786762738787004	43.40156168188424
crovir-transcript-7675	0	0	0	0	0
crovir-transcript-7677	44.88741684685091	65.24680579823877	78.02671458521021	62.720312410099964	44.88741684685091
crovir-transcript-7676	0	0.15438676934278342	0.25415683561677976	0.13618120165318773	0
crovir-transcript-7681	20.579546419973646	17.362769894352038	9.174851718794166	15.705722677706616	20.579546419973646
crovir-transcript-7679	182.76147646361915	241.1960418771857	206.04891054847334	210.00214296309272	182.76147646361915
crovir-transcript-7680	12.865313354340465	15.36235089100775	8.532816009246494	12.253493418198236	12.865313354340465
crovir-transcript-7678	193.99757304004126	142.3155773207837	236.65426612619635	190.9891388290071	193.99757304004126
crovir-transcript-7685	0	257.4119870394657	6.833674372406674	88.08188713729079	0
crovir-transcript-7687	15.004164528341402	23.353894931415866	18.174467524814638	18.84417566152397	15.004164528341402
crovir-transcript-7688	0	985.9376608336833	24.81613410329993	336.91793164566104	0
crovir-transcript-7686	24.621598445088093	24.847826837739696	26.769862951448633	25.413096078092142	24.621598445088093
